model	task	config	metric	stock	traced	parity
microsoft/Phi-3-mini-4k-instruct	arc_easy	hf-traced	acc_norm,none	0.7866161616161617	0.7866161616161617	EQUAL
microsoft/Phi-3-mini-4k-instruct	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
microsoft/Phi-3-mini-4k-instruct	hellaswag	hf-traced	acc,none	0.5902210714997013	0.5902210714997013	EQUAL
microsoft/Phi-3-mini-4k-instruct	hellaswag	hf-traced	acc_norm,none	0.7749452300338578	0.7749452300338578	EQUAL
microsoft/Phi-3-mini-4k-instruct	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
microsoft/Phi-3-mini-4k-instruct	mmlu_high_school_psychology	hf-traced	acc,none	0.8935779816513761	0.8935779816513761	EQUAL
microsoft/Phi-3-mini-4k-instruct	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	arc_easy	hf-traced	acc,none	0.2622053872053872	0.2622053872053872	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	arc_easy	hf-traced	acc_norm,none	0.2617845117845118	0.2617845117845118	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	hellaswag	hf-traced	acc,none	0.2528380800637323	0.2528380800637323	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	hellaswag	hf-traced	acc_norm,none	0.2566221868153754	0.2566221868153754	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	hellaswag	hf-traced	sample_len	10042.0	10042.0	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	mmlu_high_school_psychology	hf-traced	acc,none	0.22385321100917432	0.22385321100917432	EQUAL
hf-internal-testing/tiny-random-MistralForCausalLM	mmlu_high_school_psychology	hf-traced	sample_len	545.0	545.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	arc_easy	hf-traced	acc,none	0.2601010101010101	0.2601010101010101	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	arc_easy	hf-traced	acc_norm,none	0.26304713804713803	0.26304713804713803	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	arc_easy	hf-traced	sample_len	2376.0	2376.0	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	hellaswag	hf-traced	acc,none	0.25632344154550885	0.25632344154550885	EQUAL
hf-internal-testing/tiny-random-CohereForCausalLM	hellaswag	hf-traced	acc_norm,none	0.2566221868153754	0.2566221868153754	EQUAL
